PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0KrAd,rnb3nr/pp4kp/2p2q2/8/1b1pPNBP/3P2p1/PPP3P1/R1BQ1K1R b - - 4 14,b4d6 g4c8 d6f4 d1g4,2079,84,90,1281,advantage opening short,https://lichess.org/Sf5RsN31/black#28,Kings_Gambit_Accepted Kings_Gambit_Accepted_Allgaier_Gambit
0KwTT,r2qk1nr/ppp1b3/8/3pPb2/3B2pp/2P5/PP1NQ1PP/2KR1B1R b kq - 0 16,d8d7 e5e6 d7a4 e2b5 a4b5 f1b5,2143,82,91,940,advantage exposedKing long opening,https://lichess.org/DZHmnDBo/black#32,Kings_Gambit_Accepted Kings_Gambit_Accepted_Polerio_Gambit
0LnBK,r1bqkbnr/pppp1p1p/8/4n3/2B1PQ2/2P5/PP1P2PP/RNB2RK1 b kq - 0 8,e5c4 f4f7,658,80,86,114,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/AMJ13Kyw/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Blachly_Gambit
0Lpsn,r2qkbnr/ppp2ppp/6n1/5b2/4NB2/3P4/PPP1Q1PP/R3KBNR b KQkq - 4 8,g6f4 e4f6,1246,85,92,2822,discoveredCheck doubleCheck mate mateIn1 oneMove opening,https://lichess.org/T5zvxUVi/black#16,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
0MGeQ,r2qkbnr/ppp2ppp/2np4/8/2B1Ppb1/1QP2N2/PP1P2PP/RNB1K2R b KQkq - 4 6,g4f3 c4f7 e8d7 b3e6,1066,78,70,166,attackingF2F7 mate mateIn2 opening short,https://lichess.org/9shteNrT/black#12,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
0NRqp,rnbkQ2r/ppppb2p/3N1n2/8/4P3/2N5/PPPP3P/R1B1KB1q b Q - 4 12,f6e8 d6f7,888,94,92,1300,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/MZIEZaVf/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Quade_Gambit
0NTwe,r1bqk1nr/ppp2pb1/2np3p/8/2BPPR1p/2P5/PP4PP/RNBQ2K1 b kq - 0 9,f7f6 d1h5 e8d7 h5g4,2277,88,69,45,crushing opening short,https://lichess.org/DhHoCTDp/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Becker_Defense
0NwFk,r3k1nr/pppq2pp/2nb4/4P3/8/P4N2/1P4PP/RNBQ1RK1 b kq - 0 13,c6e5 f3e5 d6c5 g1h1 d7d1 f1d1,1360,77,93,739,advantage long opening,https://lichess.org/kGDSDfdN/black#26,Kings_Gambit Kings_Gambit_Other_variations
0SC9S,r2q1rk1/pp2bppp/5n2/2p1P1N1/3p2b1/2PQ4/PP4PP/RNB2RK1 b - - 0 13,f6d5 d3h7,765,120,100,52,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/vMHs1OHJ/black#26,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
0TdNB,rnbq2nr/ppppb1pp/8/4kQ2/4P3/8/PPPP3p/RNB2R1K b - - 1 11,e5d6 f5d5,1007,100,94,200,mate mateIn1 oneMove opening,https://lichess.org/Eyrx65Ai/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
